NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
Κασσώπη,,48100,Καμαρίνα,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Καστρί Ποταμίας,,34200,Καστρί Ποταμίας,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Κάστρο Αγίου Γεωργίου,,,Περατάτα,20η  Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Ακροκορίνθου,,200 07,Αρχαία Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Ανδρούσας,,,Ανδρούσα,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Αντιμάχειας,,85302,Αντιμάχεια,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Απολακκιάς,,,Απολακκιά,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Απολλώνων,,,Απόλλωνα,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Άργους,,85303,Νίσυρος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Βελίκας,,,Βελίκα,7η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Βόλου,,,Βόλος,7η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Γλαρέντζας,,,Κυλλήνη,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχύρωση, 
Κάστρο Γλαρέντζας,,,Κυλλήνη,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Ζακύνθου,Μπόχαλη,29100,Ζάκυνθος,20η  Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Ιωαννίνων,Κάστρο Ιωαννίνων,45221,Ιωάννινα,8η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Καλλιθήρου,Καρδίτσα,43100,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Κατταβιάς,,,Κατταβιά,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Κορώνης,,,Κορώνη,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Κοσκινού,,851 00,Κοσκινού,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Κυπαρισσίας,,,Κυπαρισσία,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Λαμίας,Κάστρο Λαμίας,35100,Λαμία,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αμυντικοί, 
Κάστρο Λαχανιάς,,,Λαχανιά,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Μανδρακίου ,,85303,Νίσυρος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Μεθώνης,,,Μεθώνη,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Μικρού Χωριού,,85002,Τήλος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Μυτιλήνης,,81100,Μυτιλήνη,14η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχύρωση, 
Κάστρο Παράλιου Άστρους,,,Παράλιο Άστρος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Κάστρο, 
Κάστρο Πάτρας,Παναχαΐδος Αθηνάς,26225,Πάτρα,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχύρωση, 
Κάστρο Πάτρας,Παναχαΐδος Αθηνάς,26225,Πάτρα,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Πέρα,,,Καστάνια Μάνης,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Περιπάτου,,85300,Κως,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Πηδήματος,,,Πήδημα,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Πλαταμώνα,,60065,Πλαταμώνας,9η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Σαλάκου,,,Σάλακος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Σίφνου,,,Κάστρο,2η Εφορεία Βυζαντινών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Κάστρο Σίφνου,,,Κάστρο,2η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχυρωμένος οικισμός, 
Κάστρο Φορτέτζα,,,Ρέθυμνο,28η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχύρωση, 
Κάστρο Χίου,,,Χίος,3η Εφορεία Βυζαντινών Αρχαιοτήτων,Χώρος μάχης, 
Κάστρο Χλεμούτσι,,,Κυλλήνη,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Αμυντικοί, 
Κάστρο Χλεμούτσι,,,Κυλλήνη,6η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Χώρας Καλύμνου,,85200,Κάλυμνος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχυρωμένος οικισμός, 
Κάστρο Χωριού Σύμης,,85600,Σύμη,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Χωριού Χάλκης,,85110,Χάλκη,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κάστρο Ψίνθου,,85105,Ψίνθος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Κατάπολα Αμοργού,,84008,Κατάπολα Αμοργού,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Καταρράκτης,θέση Ροδιά (Μπουγά),,Πάτρα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
